,國文,英文,數學,地理,歷史,總分,平均
1,77,77,74,62,83,373,74.6
2,70,90,66,60,89,375,75.0
3,89,63,62,99,95,408,81.6
4,60,87,75,85,93,400,80.0
5,64,66,63,75,65,333,66.6
6,63,73,73,93,99,401,80.2
7,69,80,83,79,63,374,74.8
8,60,67,71,64,80,342,68.4
9,83,64,63,82,66,358,71.6
10,92,91,75,88,76,422,84.4
11,65,75,90,81,65,376,75.2
12,72,72,61,97,85,387,77.4
13,62,60,71,94,74,361,72.2
14,98,84,81,63,82,408,81.6
15,64,93,85,63,70,375,75.0
16,88,77,90,83,77,415,83.0
17,76,68,89,77,80,390,78.0
18,83,94,90,96,95,458,91.6
19,71,73,76,70,89,379,75.8
20,86,62,95,62,97,402,80.4
21,69,93,74,90,92,418,83.6
22,60,61,73,64,61,319,63.8
23,96,85,74,61,78,394,78.8
24,70,74,78,98,66,386,77.2
25,81,88,79,88,87,423,84.6
26,80,81,64,89,96,410,82.0
27,74,93,95,77,79,418,83.6
28,84,73,71,80,66,374,74.8
29,80,85,78,91,89,423,84.6
30,85,68,68,65,61,347,69.4
31,68,84,85,89,74,400,80.0
32,61,87,84,73,89,394,78.8
33,70,90,84,86,91,421,84.2
34,66,84,79,82,92,403,80.6
35,65,61,71,62,82,341,68.2
36,63,96,92,89,82,422,84.4
37,81,98,67,79,81,406,81.2
38,60,75,97,97,80,409,81.8
39,64,63,94,86,79,386,77.2
40,93,78,79,73,86,409,81.8
41,91,63,88,87,99,428,85.6
42,76,66,97,82,84,405,81.0
43,71,95,87,69,84,406,81.2
44,97,85,77,85,79,423,84.6
45,90,67,81,85,70,393,78.6
46,84,76,77,97,73,407,81.4
47,90,68,72,68,63,361,72.2
48,96,68,85,69,85,403,80.6
49,83,70,68,75,71,367,73.4
50,76,92,74,78,89,409,81.8
